easting,northing,cluster_density_level
792740.1466967497,861788.9885653288,-1
726586.0245242881,733788.0797124961,1
773400.9809670198,814134.7100074457,1
698581.0009438631,838896.6418841665,1
743961.4247562629,856468.2631616921,1
783011.5124656768,818444.5625838309,1
698103.8191560514,809440.1315776219,1
759370.1770546882,846538.3607300584,1
672503.6680581154,786049.0136825454,1
719033.8202692991,782550.0425553554,1
747518.6819927859,844712.349231436,1
771607.6746351063,847440.7077999911,1
733632.1221461261,733112.5231758287,1
697235.8978721088,814204.8738273546,2
675266.7988186141,798126.2965267779,1
771594.0389120302,824294.2007102584,1
691570.2745602651,849009.9752246079,1
704694.2615675756,803160.1528395903,1
747110.3850495326,823606.6197939774,1
675066.4130370133,790544.565806331,1
704694.2615675756,803160.1528395903,1
694422.4127541481,849464.923821278,1
726638.2467211965,735589.1358906879,1
754626.0377647507,824057.3665747404,1
752774.4229674645,863022.7031968987,1
697960.1403790248,813093.4691828109,2
765276.295389531,846027.790238562,1
781394.4893025918,819902.3341408367,1
754917.032085365,831066.8752963565,1
691262.3438101772,854943.6235064756,2
786666.6175451215,824249.3696922213,1
749692.7037780223,868589.6714738802,1
694601.5624388104,814320.9027933531,1
755035.2581624779,858176.803621546,1
757031.9128000186,831589.344079331,1
765276.295389531,846027.790238562,1
691262.3438101772,854943.6235064756,2
699331.4067223422,852021.0583180325,1
670549.6968196355,770577.8840965993,0
723387.5707645399,825560.329766187,0
682806.089258027,806783.4563971993,0
771475.0621443319,824293.3795580217,1
667982.7291517083,794547.775430881,1
711617.1607316266,781198.5437611147,1
770018.5023497908,826912.5438932391,2
732967.5836472694,733724.0173230879,1
594130.2999842159,795421.5422478574,-1
693001.8365832106,845967.99499443,1
770301.3145927081,824393.641582312,1
772030.5616045858,853970.8588655564,1
738411.8213347532,732502.4624747899,1
703062.4423761789,792863.586750967,1
692116.2238370227,848212.8288488812,1
736563.4047804985,850383.4398619656,1
736507.7465951592,851271.7069032912,1
709838.6244938147,809205.4371182653,1
691391.543652829,854695.1048466983,2
744578.60171866,726353.4285465496,1
712753.6753022337,770616.8819938463,0
736575.0910483503,849628.8945922434,1
797539.3404864925,818442.0482021965,0
667271.6286245219,844145.1504104227,0
693783.4057195894,848232.4282558175,1
777617.3582585164,827671.0278005789,1
766934.9832035118,850118.9986312748,1
765276.295389531,846027.790238562,1
698266.7505782489,802771.833498032,1
770304.66973212,823798.0101637015,1
704786.8575252979,826820.4075399475,0
717323.3125280094,850409.585593962,1
687867.2451965526,797807.0744309465,1
689534.5822152222,853565.8132559478,1
718788.162447778,721162.0624035066,0
776330.8286586714,807759.9458539626,1
