"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","26-357218","2026-07-03 16:45:04+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","6900 DANIELS CROSSING LN","FORT MYERS",,,,"{""id"": ""26-357218"", ""city"": ""FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""6900 DANIELS CROSSING LN"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 12:45:04.0000000"", ""incidentNumber"": ""26-357218""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357199","2026-07-03 16:36:13+00","2026-07-06 16:53:21.588848+00",,,"DOMESTIC VIOLENCE","01-ARREST","2415 RICHARD AVE S","LEHIGH ACRES",,,,"{""id"": ""26-357199"", ""city"": ""LEHIGH ACRES"", ""nature"": ""DOMESTIC VIOLENCE"", ""address"": ""2415 RICHARD AVE S"", ""disposition"": ""01-ARREST"", ""occuredDate"": ""2026-07-03 12:36:13.0000000"", ""incidentNumber"": ""26-357199""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357172","2026-07-03 16:22:03+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","14990 N CLEVELAND AVE","NORTH FORT MYERS",,,,"{""id"": ""26-357172"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""14990 N CLEVELAND AVE"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 12:22:03.0000000"", ""incidentNumber"": ""26-357172""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357153","2026-07-03 16:07:39+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","08-REPORT TAKEN","3105 DONALD AVE S","LEHIGH ACRES",,,,"{""id"": ""26-357153"", ""city"": ""LEHIGH ACRES"", ""nature"": ""ANIMAL"", ""address"": ""3105 DONALD AVE S"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 12:07:39.0000000"", ""incidentNumber"": ""26-357153""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357119","2026-07-03 15:48:13+00","2026-07-06 16:53:21.588848+00",,,"HARASSMENT","05-HANDLED BY DEPUTY","3806 SABAL SPRINGS BLVD","NORTH FORT MYERS",,,,"{""id"": ""26-357119"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""HARASSMENT"", ""address"": ""3806 SABAL SPRINGS BLVD"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 11:48:13.0000000"", ""incidentNumber"": ""26-357119""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357097","2026-07-03 15:35:22+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL","07-TURNED OVER TO OTHER AGENCY","14561 PALM BEACH BLVD","FORT MYERS",,,,"{""id"": ""26-357097"", ""city"": ""FORT MYERS"", ""nature"": ""ANIMAL"", ""address"": ""14561 PALM BEACH BLVD"", ""disposition"": ""07-TURNED OVER TO OTHER AGENCY"", ""occuredDate"": ""2026-07-03 11:35:22.0000000"", ""incidentNumber"": ""26-357097""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357084","2026-07-03 15:29:36+00","2026-07-06 16:53:21.588848+00",,,"ANIMAL LIVESTOCK","10-GONE ON ARRIVAL","CASCADE PRICE CIR / PRITCHETT PKWY","NORTH FORT MYERS",,,,"{""id"": ""26-357084"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""ANIMAL LIVESTOCK"", ""address"": ""CASCADE PRICE CIR / PRITCHETT PKWY"", ""disposition"": ""10-GONE ON ARRIVAL"", ""occuredDate"": ""2026-07-03 11:29:36.0000000"", ""incidentNumber"": ""26-357084""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-357081","2026-07-03 15:28:05+00","2026-07-06 16:53:21.588848+00",,,"DEATH INVESTIGATION","08-REPORT TAKEN","8460 MURANO DEL LAGO","ESTERO",,,,"{""id"": ""26-357081"", ""city"": ""ESTERO"", ""nature"": ""DEATH INVESTIGATION"", ""address"": ""8460 MURANO DEL LAGO"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 11:28:05.0000000"", ""incidentNumber"": ""26-357081""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356972","2026-07-03 14:30:00+00","2026-07-06 16:53:21.588848+00",,,"THEFT MISD","08-REPORT TAKEN","1846 POWELL","NORTH FORT MYERS",,,,"{""id"": ""26-356972"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""THEFT MISD"", ""address"": ""1846 POWELL"", ""disposition"": ""08-REPORT TAKEN"", ""occuredDate"": ""2026-07-03 10:30:00.0000000"", ""incidentNumber"": ""26-356972""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
"lee_county","26-356888","2026-07-03 13:49:00+00","2026-07-06 16:53:21.588848+00",,,"DISTURBANCE","05-HANDLED BY DEPUTY","DEL PRADO BLVD N / MONTE ISOLA WAY","NORTH FORT MYERS",,,,"{""id"": ""26-356888"", ""city"": ""NORTH FORT MYERS"", ""nature"": ""DISTURBANCE"", ""address"": ""DEL PRADO BLVD N / MONTE ISOLA WAY"", ""disposition"": ""05-HANDLED BY DEPUTY"", ""occuredDate"": ""2026-07-03 09:49:00.0000000"", ""incidentNumber"": ""26-356888""}",0,"tolga_ec2_2","2026-07-06 17:01:22.421989+00","2026-07-06 16:53:21.588848+00"
