Density scenario: 3levels (street + neighborhood + district)
Levels (loosest -> tightest): ['district', 'neighborhood', 'street']
n_total=250 n_noise=10 counts_by_level={0: 141, 1: 70, -1: 10, 2: 29}
------------------------------------------------------------
lat,lng,density_level
26.50194756664,-81.943556053715,0
26.349945014016,-81.779232701198,1
26.597081619311,-81.740189738381,0
26.617258134639,-81.667755555816,1
26.636958779707,-81.704822846286,0
26.660837970904,-81.665917504084,1
26.662283948154,-81.683997505791,0
26.59797163293,-81.642531219635,1
26.660606914033,-81.801566883436,0
26.694331010711,-81.69718616503,0
26.620880581248,-81.673358184061,1
26.676447327939,-81.677014036097,0
26.529434951422,-81.941586490024,0
26.653693060057,-81.671491397851,1
26.608215636147,-81.651556997264,2
26.684919827273,-81.8922697843,2
26.560515326804,-81.871706279402,1
26.605201343968,-81.648191413536,2
26.682677123968,-81.85414117415,0
26.592387912533,-81.891278649324,0
26.641687320291,-81.718600372549,0
26.514896233337,-81.856593284956,0
26.543218596601,-81.851566671435,0
26.685034418639,-81.892124065638,2
26.584057966298,-81.639067901218,1
26.631926576143,-81.811446036752,0
26.742968112933,-81.842854987072,0
26.60979071857,-81.654041233552,2
26.600755184249,-81.60063143585,0
26.600178994234,-82.222143785644,-1
26.707196611024,-81.869866954974,1
26.612770888926,-81.6728103738,1
26.4515663,-81.7876211,0
26.364281118826,-81.810044305108,0
26.661021391972,-81.887216036895,1
26.6671993,-81.8899218,1
26.659698097506,-81.896286377283,0
26.579712283942,-81.604851857587,1
26.678520975435,-81.808901431056,0
26.689963347413,-81.913294216496,0
26.604773408814,-81.794277681898,0
26.563882127511,-81.604698598242,0
26.468287131113,-81.799573828923,0
26.573057225901,-81.880824795012,1
26.706736754894,-81.712803236382,0
26.608215636147,-81.651556997264,2
26.503581836056,-81.914162671868,0
26.619750254007,-81.697744786699,0
26.675444213352,-81.753972961147,1
26.677588057344,-81.869882703936,1
26.699826092847,-81.863943601824,1
26.352399938179,-81.750962513394,0
26.5881357,-81.8177267,0
26.610243441188,-81.628294161724,0
26.625597192529,-81.626433248346,0
26.573952282349,-81.882406884302,1
26.573626187963,-81.874347177839,2
26.528535726579,-81.903049537431,0
26.723011408604,-81.713477610038,0
26.352071409925,-81.765471769395,0
26.570849421502,-81.829172653396,0
26.708599701977,-81.727329402813,1
26.588096979102,-81.605935881577,1
26.698140935577,-81.771806956731,0
26.553782344764,-81.651172296896,0
26.611541041119,-81.660466616715,1
26.588840501709,-81.616805373654,1
26.60131808044,-81.642363838539,1
26.542169386204,-81.871228324558,0
26.6646781,-81.6465196,0
26.601000465322,-81.646757230079,2
26.720464886172,-81.869971606257,0
26.591097972569,-81.649261233033,1
26.488396659021,-81.785282820536,0
26.67092434016,-81.75377643735,1
26.509137078578,-81.953236009913,0
26.678493225449,-81.88398124209,1
26.597820380183,-81.719385894119,0
26.558970925597,-81.8693412601,0
26.51100174529,-81.913874016602,0
26.718582872408,-81.709097511268,0
26.519279745527,-81.82516495021,0
26.60827488994,-81.635941967588,0
26.709590237076,-81.729500554283,1
26.660837970904,-81.665917504084,1
26.70315222819,-81.872176308847,2
26.4536495,-81.9560423,0
26.621173712934,-81.691267704423,0
26.541956208653,-81.872217136903,0
26.555476526914,-81.632406571859,0
26.348558349074,-81.779084830871,1
26.350385724265,-81.763445866093,0
26.71192423238,-81.904680733546,0
26.610931827943,-81.753415157003,0
26.590459840465,-81.672925753762,0
26.499644189266,-82.085869099979,-1
26.641552726178,-81.870155011874,0
26.670363752973,-81.830517256405,1
